trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.5, 'e': 0.24171401689703562}",20,6,26.237078191204976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23692775868212093}",35,17,-35.40283452462774,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.232236274729758}",20,3,27.35235066076233,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22763768838381193}",25,14,19.501045873701504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.223130160148429}",20,0,-19.193495713775924,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.21871188695221394}",30,0,-38.10166989922559,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.21438110142697714}",20,0,13.674764026598407,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.2101360712007639}",25,8,23.63448404112466,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20597509820488263}",20,12,13.613041412053898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20189651799465458}",20,13,15.190569960437898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19789869908361385}",30,14,9.610748053845477,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19398004229089108}",20,12,-2.8822047233372503,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19013898010151972}",25,12,-8.034426603756366,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18637397603940917}",30,0,29.772142304886685,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.18268352405273386}",30,8,-44.9266053163551,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.17906614791149245}",25,18,7.082048466156797,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.1755204006169961}",20,8,9.640937998632873,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17204486382304976}",20,13,14.334022784357787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.16863814726859475}",25,10,-70.3287542233589,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.16529888822158578}",25,17,15.301945406901652,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16202575093388003}",30,4,-5.751875029501454,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15881742610691996}",25,19,-2.446588575490275,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15567263036799658}",20,9,6.843603598572907,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.15259010575688314}",30,16,22.91959244579758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14956861922263434}",20,9,17.62300471813049,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
